cgpa,backlog,semester,department,course_id,employability_index,skills_count,placed
6.89,1,5,Computer Science,CLOUD,0.87,4,1
6.87,0,8,Mechanical,CYB,0.83,4,1
4.53,0,5,Civil,DS,0.85,3,1
7.83,0,6,Civil,DS,0.85,5,1
6.5,0,5,Civil,CLOUD,0.87,3,1
6.66,0,7,Mechanical,WEB,0.78,2,1
8.09,2,5,Civil,WEB,0.78,3,0
6.41,4,5,Civil,DS,0.85,1,0
4.49,2,5,Civil,WEB,0.78,0,0
6.37,1,8,Computer Science,CYB,0.83,6,0
8.99,1,7,Civil,WEB,0.78,7,1
8.04,0,8,Electronics,AIML,0.9,4,1
6.74,2,8,Mechanical,DS,0.85,6,1
4.83,0,8,Civil,WEB,0.78,3,0
6.56,1,5,Information Technology,AIML,0.9,5,1
6.41,0,5,Information Technology,CLOUD,0.87,2,1
8.87,2,5,Mechanical,CLOUD,0.87,6,1
6.75,1,8,Computer Science,CYB,0.83,6,1
6.99,1,5,Civil,WEB,0.78,4,0
7.94,1,8,Information Technology,CLOUD,0.87,0,0
8.87,2,8,Mechanical,AIML,0.9,3,0
7.12,0,6,Civil,CLOUD,0.87,8,1
6.22,0,7,Computer Science,WEB,0.78,3,0
6.67,1,7,Information Technology,DS,0.85,1,0
8.02,0,6,Information Technology,AIML,0.9,2,0
7.54,0,6,Civil,WEB,0.78,6,0
6.64,1,6,Mechanical,CLOUD,0.87,4,0
7.14,0,7,Computer Science,CYB,0.83,4,0
7.2,0,6,Mechanical,CYB,0.83,4,1
7.18,0,6,Information Technology,CLOUD,0.87,4,0
7.43,0,8,Electronics,AIML,0.9,5,1
8.91,0,6,Mechanical,DS,0.85,5,1
7.53,2,7,Electronics,AIML,0.9,0,0
6.39,1,8,Civil,CLOUD,0.87,4,1
6.49,1,5,Information Technology,AIML,0.9,5,1
6.53,2,8,Computer Science,DS,0.85,4,0
7.4,0,5,Computer Science,CLOUD,0.87,1,0
7.5,1,8,Civil,WEB,0.78,6,0
7.83,0,8,Information Technology,WEB,0.78,2,1
7.23,1,7,Computer Science,WEB,0.78,4,1
9.53,0,6,Computer Science,DS,0.85,2,1
5.89,1,7,Mechanical,WEB,0.78,4,1
5.98,0,5,Mechanical,CLOUD,0.87,2,0
9.24,2,6,Computer Science,DS,0.85,5,1
8.06,1,7,Mechanical,CLOUD,0.87,6,1
6.75,1,6,Mechanical,AIML,0.9,5,1
7.36,0,6,Computer Science,AIML,0.9,3,1
4.61,0,7,Civil,DS,0.85,5,0
8.12,0,6,Information Technology,CLOUD,0.87,6,1
6.85,2,6,Electronics,WEB,0.78,3,1
8.61,0,6,Civil,AIML,0.9,0,1
6.17,0,8,Civil,DS,0.85,3,1
8.13,0,6,Mechanical,DS,0.85,9,1
5.46,0,8,Information Technology,CYB,0.83,6,0
6.73,0,6,Electronics,WEB,0.78,5,1
6.95,3,7,Information Technology,DS,0.85,8,1
8.38,0,8,Electronics,CLOUD,0.87,2,0
9.06,1,6,Mechanical,WEB,0.78,2,1
7.37,2,6,Civil,CYB,0.83,2,1
6.92,0,5,Civil,CLOUD,0.87,1,1
5.79,0,5,Civil,DS,0.85,4,1
8.85,1,5,Mechanical,AIML,0.9,5,1
6.61,0,5,Mechanical,CLOUD,0.87,4,0
8.43,1,8,Electronics,DS,0.85,5,1
7.75,2,8,Mechanical,WEB,0.78,4,0
5.92,0,5,Civil,WEB,0.78,4,0
8.12,1,8,Electronics,DS,0.85,4,0
6.83,2,8,Mechanical,CLOUD,0.87,3,1
9.99,0,5,Electronics,CYB,0.83,0,0
5.17,2,6,Computer Science,CLOUD,0.87,3,0
6.16,2,7,Computer Science,CYB,0.83,3,0
8.79,3,8,Mechanical,WEB,0.78,3,0
7.98,1,7,Electronics,DS,0.85,4,0
8.01,0,7,Computer Science,CLOUD,0.87,0,1
9.0,0,5,Electronics,WEB,0.78,7,1
9.09,3,8,Civil,CYB,0.83,2,0
7.84,0,6,Computer Science,CYB,0.83,7,1
8.76,2,8,Computer Science,DS,0.85,6,1
6.64,1,7,Mechanical,CLOUD,0.87,3,0
8.46,1,5,Information Technology,CLOUD,0.87,0,1
10.0,0,8,Mechanical,AIML,0.9,4,1
6.21,0,7,Electronics,AIML,0.9,4,0
6.14,1,6,Mechanical,CYB,0.83,3,1
7.81,0,6,Computer Science,CYB,0.83,3,1
6.26,1,5,Information Technology,CYB,0.83,7,0
6.73,0,8,Mechanical,DS,0.85,4,1
7.77,0,8,Computer Science,DS,0.85,3,1
8.71,0,7,Information Technology,CYB,0.83,2,1
7.55,1,6,Mechanical,AIML,0.9,3,1
6.78,2,7,Information Technology,DS,0.85,2,1
5.72,1,5,Computer Science,CYB,0.83,5,1
7.38,2,7,Information Technology,CYB,0.83,0,0
7.09,0,7,Civil,DS,0.85,6,1
7.57,0,6,Electronics,CLOUD,0.87,4,1
7.53,1,8,Computer Science,CYB,0.83,5,1
8.8,1,8,Computer Science,CYB,0.83,3,0
8.65,0,5,Information Technology,CLOUD,0.87,3,1
8.94,1,8,Electronics,AIML,0.9,6,1
6.99,1,5,Civil,WEB,0.78,5,0
6.42,2,5,Computer Science,CLOUD,0.87,3,0
7.6,1,8,Computer Science,CYB,0.83,2,1
7.62,0,5,Electronics,CLOUD,0.87,4,1
6.78,3,5,Electronics,WEB,0.78,3,0
6.91,0,5,Computer Science,CYB,0.83,4,0
6.51,1,8,Mechanical,AIML,0.9,5,0
7.04,0,6,Civil,CYB,0.83,4,1
7.3,0,6,Mechanical,AIML,0.9,4,1
5.7,0,6,Mechanical,WEB,0.78,8,1
7.52,2,8,Information Technology,CLOUD,0.87,4,0
7.34,2,5,Electronics,WEB,0.78,3,0
7.12,2,6,Information Technology,CLOUD,0.87,4,1
8.04,1,6,Civil,AIML,0.9,1,0
7.76,0,8,Information Technology,AIML,0.9,6,1
7.24,1,6,Computer Science,CYB,0.83,1,0
7.48,0,5,Computer Science,WEB,0.78,1,1
6.75,1,6,Electronics,DS,0.85,7,0
7.72,0,7,Information Technology,AIML,0.9,3,0
