cgpa,backlog,semester,department,course_id,course_min_cgpa,course_max_backlog,eligible
6.81,0,5,Information Technology,AIML,7.5,0,0
6.81,0,5,Information Technology,DS,7.0,1,0
6.81,0,5,Information Technology,WEB,6.0,2,1
6.81,0,5,Information Technology,CYB,7.0,1,0
6.81,0,5,Information Technology,CLOUD,6.5,1,1
7.43,0,6,Computer Science,AIML,7.5,0,1
7.43,0,6,Computer Science,DS,7.0,1,1
7.43,0,6,Computer Science,WEB,6.0,2,1
7.43,0,6,Computer Science,CYB,7.0,1,1
7.43,0,6,Computer Science,CLOUD,6.5,1,1
7.3,2,3,Civil,AIML,7.5,0,0
7.3,2,3,Civil,DS,7.0,1,0
7.3,2,3,Civil,WEB,6.0,2,1
7.3,2,3,Civil,CYB,7.0,1,0
7.3,2,3,Civil,CLOUD,6.5,1,0
5.0,0,3,Information Technology,AIML,7.5,0,0
5.0,0,3,Information Technology,DS,7.0,1,0
5.0,0,3,Information Technology,WEB,6.0,2,0
5.0,0,3,Information Technology,CYB,7.0,1,0
5.0,0,3,Information Technology,CLOUD,6.5,1,0
6.59,1,5,Computer Science,AIML,7.5,0,0
6.59,1,5,Computer Science,DS,7.0,1,1
6.59,1,5,Computer Science,WEB,6.0,2,1
6.59,1,5,Computer Science,CYB,7.0,1,1
6.59,1,5,Computer Science,CLOUD,6.5,1,1
5.12,0,8,Mechanical,AIML,7.5,0,0
5.12,0,8,Mechanical,DS,7.0,1,0
5.12,0,8,Mechanical,WEB,6.0,2,0
5.12,0,8,Mechanical,CYB,7.0,1,0
5.12,0,8,Mechanical,CLOUD,6.5,1,0
8.25,0,7,Electronics,AIML,7.5,0,1
8.25,0,7,Electronics,DS,7.0,1,1
8.25,0,7,Electronics,WEB,6.0,2,1
8.25,0,7,Electronics,CYB,7.0,1,1
8.25,0,7,Electronics,CLOUD,6.5,1,1
5.1,0,7,Information Technology,AIML,7.5,0,0
5.1,0,7,Information Technology,DS,7.0,1,0
5.1,0,7,Information Technology,WEB,6.0,2,0
5.1,0,7,Information Technology,CYB,7.0,1,0
5.1,0,7,Information Technology,CLOUD,6.5,1,0
7.9,1,5,Computer Science,AIML,7.5,0,0
7.9,1,5,Computer Science,DS,7.0,1,1
7.9,1,5,Computer Science,WEB,6.0,2,1
7.9,1,5,Computer Science,CYB,7.0,1,1
7.9,1,5,Computer Science,CLOUD,6.5,1,1
4.64,1,4,Electronics,AIML,7.5,0,0
4.64,1,4,Electronics,DS,7.0,1,0
4.64,1,4,Electronics,WEB,6.0,2,0
4.64,1,4,Electronics,CYB,7.0,1,0
4.64,1,4,Electronics,CLOUD,6.5,1,0
6.8,0,8,Information Technology,AIML,7.5,0,0
6.8,0,8,Information Technology,DS,7.0,1,0
6.8,0,8,Information Technology,WEB,6.0,2,1
6.8,0,8,Information Technology,CYB,7.0,1,0
6.8,0,8,Information Technology,CLOUD,6.5,1,1
8.77,0,4,Electronics,AIML,7.5,0,1
8.77,0,4,Electronics,DS,7.0,1,1
8.77,0,4,Electronics,WEB,6.0,2,1
8.77,0,4,Electronics,CYB,7.0,1,1
8.77,0,4,Electronics,CLOUD,6.5,1,1
7.15,0,3,Electronics,AIML,7.5,0,0
7.15,0,3,Electronics,DS,7.0,1,0
7.15,0,3,Electronics,WEB,6.0,2,1
7.15,0,3,Electronics,CYB,7.0,1,1
7.15,0,3,Electronics,CLOUD,6.5,1,1
5.11,0,4,Mechanical,AIML,7.5,0,0
5.11,0,4,Mechanical,DS,7.0,1,0
5.11,0,4,Mechanical,WEB,6.0,2,0
5.11,0,4,Mechanical,CYB,7.0,1,0
5.11,0,4,Mechanical,CLOUD,6.5,1,0
8.24,0,5,Information Technology,AIML,7.5,0,1
8.24,0,5,Information Technology,DS,7.0,1,1
8.24,0,5,Information Technology,WEB,6.0,2,1
8.24,0,5,Information Technology,CYB,7.0,1,1
8.24,0,5,Information Technology,CLOUD,6.5,1,1
6.06,0,7,Mechanical,AIML,7.5,0,0
6.06,0,7,Mechanical,DS,7.0,1,0
6.06,0,7,Mechanical,WEB,6.0,2,1
6.06,0,7,Mechanical,CYB,7.0,1,0
6.06,0,7,Mechanical,CLOUD,6.5,1,0
7.86,5,7,Mechanical,AIML,7.5,0,0
7.86,5,7,Mechanical,DS,7.0,1,0
7.86,5,7,Mechanical,WEB,6.0,2,0
7.86,5,7,Mechanical,CYB,7.0,1,0
7.86,5,7,Mechanical,CLOUD,6.5,1,0
7.34,1,3,Information Technology,AIML,7.5,0,0
7.34,1,3,Information Technology,DS,7.0,1,1
7.34,1,3,Information Technology,WEB,6.0,2,1
7.34,1,3,Information Technology,CYB,7.0,1,1
7.34,1,3,Information Technology,CLOUD,6.5,1,0
3.81,4,7,Electronics,AIML,7.5,0,0
3.81,4,7,Electronics,DS,7.0,1,0
3.81,4,7,Electronics,WEB,6.0,2,0
3.81,4,7,Electronics,CYB,7.0,1,0
3.81,4,7,Electronics,CLOUD,6.5,1,0
9.54,0,3,Computer Science,AIML,7.5,0,1
9.54,0,3,Computer Science,DS,7.0,1,1
9.54,0,3,Computer Science,WEB,6.0,2,1
9.54,0,3,Computer Science,CYB,7.0,1,1
9.54,0,3,Computer Science,CLOUD,6.5,1,1
6.0,0,8,Electronics,AIML,7.5,0,1
6.0,0,8,Electronics,DS,7.0,1,0
6.0,0,8,Electronics,WEB,6.0,2,1
6.0,0,8,Electronics,CYB,7.0,1,0
6.0,0,8,Electronics,CLOUD,6.5,1,0
3.91,1,8,Electronics,AIML,7.5,0,0
3.91,1,8,Electronics,DS,7.0,1,0
3.91,1,8,Electronics,WEB,6.0,2,0
3.91,1,8,Electronics,CYB,7.0,1,0
3.91,1,8,Electronics,CLOUD,6.5,1,0
8.43,2,8,Civil,AIML,7.5,0,0
8.43,2,8,Civil,DS,7.0,1,0
8.43,2,8,Civil,WEB,6.0,2,1
